Weapon,Skin,Rarity,Case,Price
UMP-45,Riot,Mil-Spec SMG,Falchion Case,0.25
UMP-45,Delusion,Mil-Spec SMG,Operation Vanguard Weapon Case,0.4
UMP-45,Labyrinth,Mil-Spec SMG,Operation Breakout Weapon Case,0.08
UMP-45,Corporal,Mil-Spec SMG,Operation Phoenix Weapon Case,0.24
UMP-45,Bone Pile,Mil-Spec SMG,Operation Bravo Case,8.81
MAG-7,Justice,Classified Shotgun,Prisma 2 Case,2.39
MAG-7,BI83 Spectrum,Restricted Shotgun,Operation Riptide Case,0.74
MAG-7,Monster Call,Restricted Shotgun,Fracture Case,0.4
MAG-7,SWAG-7,Restricted Shotgun,Clutch Case,0.31
MAG-7,Petroglyph,Restricted Shotgun,Gamma 2 Case,0.31
MAG-7,Praetorian,Restricted Shotgun,Operation Wildfire Case,2.48
MAG-7,Heat,Restricted Shotgun,Chroma 2 Case,0.34
MAG-7,Insomnia,Mil-Spec Shotgun,Revolution Case,0.08
MAG-7,Foresight,Mil-Spec Shotgun,Dreams & Nightmares Case,0.07
MAG-7,Popdog,Mil-Spec Shotgun,CS20 Case,0.15
MAG-7,Hard Water,Mil-Spec Shotgun,Operation Hydra Case,3.68
MAG-7,Sonar,Mil-Spec Shotgun,Glove Case,0.09
MAG-7,Cobalt Core,Mil-Spec Shotgun,Shadow Case,0.16
MAG-7,Firestarter,Mil-Spec Shotgun,Operation Vanguard Weapon Case,0.39
MAG-7,Heaven Guard,Mil-Spec Shotgun,Operation Phoenix Weapon Case,0.27
MAG-7,Memento,Mil-Spec Shotgun,eSports 2013 Case,3.88
Nova,Hyper Beast,Classified Shotgun,Operation Wildfire Case,15.29
Nova,Bloomstick,Classified Shotgun,eSports 2014 Summer Case,7.33
Nova,Antique,Classified Shotgun,Operation Phoenix Weapon Case,10.76
Nova,Clear Polymer,Restricted Shotgun,Operation Broken Fang Case,2.76
Nova,Toy Soldier,Restricted Shotgun,Horizon Case,0.8
Nova,Wild Six,Restricted Shotgun,Clutch Case,0.28
Nova,Gila,Restricted Shotgun,Glove Case,0.38
Nova,Koi,Restricted Shotgun,Operation Breakout Weapon Case,0.69
Nova,Rising Skull,Restricted Shotgun,Winter Offensive Weapon Case,5.45
Nova,Graphite,Restricted Shotgun,CS:GO Weapon Case 2,1.34
Nova,Windblown,Mil-Spec Shotgun,Snakebite Case,0.1
Nova,Plume,Mil-Spec Shotgun,Shattered Web Case,1.08
Nova,Wood Fired,Mil-Spec Shotgun,Danger Zone Case,0.08
Nova,Exo,Mil-Spec Shotgun,Gamma Case,0.12
Nova,Ranger,Mil-Spec Shotgun,Falchion Case,0.27
Nova,Ghost Camo,Mil-Spec Shotgun,eSports 2013 Winter Case,1.26
Nova,Tempest,Mil-Spec Shotgun,Operation Bravo Case,7.61
Sawed-Off,The Kraken,Covert Shotgun,Winter Offensive Weapon Case,5.17
Sawed-Off,Kiss♥Love,Classified Shotgun,Recoil Case,3.0
Sawed-Off,Devourer,Classified Shotgun,Horizon Case,3.73
Sawed-Off,Wasteland Princess,Classified Shotgun,Glove Case,1.61
Sawed-Off,Apocalypto,Restricted Shotgun,Prisma 2 Case,0.34
Sawed-Off,Limelight,Restricted Shotgun,Gamma Case,0.46
Sawed-Off,Serenity,Restricted Shotgun,Chroma Case,1.27
Sawed-Off,Highwayman,Restricted Shotgun,Operation Vanguard Weapon Case,0.82
Sawed-Off,Orange DDPAT,Restricted Shotgun,eSports 2013 Case,13.75
Sawed-Off,Spirit Board,Mil-Spec Shotgun,Dreams & Nightmares Case,0.07
Sawed-Off,Black Sand,Mil-Spec Shotgun,Danger Zone Case,0.08
Sawed-Off,Morris,Mil-Spec Shotgun,Spectrum 2 Case,0.09
Sawed-Off,Zander,Mil-Spec Shotgun,Spectrum Case,0.18
Sawed-Off,Fubar,Mil-Spec Shotgun,Chroma 3 Case,1.34
Sawed-Off,Yorick,Mil-Spec Shotgun,Revolver Case,0.09
Sawed-Off,Origami,Mil-Spec Shotgun,Chroma 2 Case,0.09
XM1014,XOXO,Classified Shotgun,Snakebite Case,1.53
XM1014,Entombed,Classified Shotgun,Fracture Case,3.06
XM1014,Incinegator,Classified Shotgun,Prisma Case,1.61
XM1014,Tranquility,Classified Shotgun,Operation Vanguard Weapon Case,6.32
XM1014,Zombie Offensive,Restricted Shotgun,Dreams & Nightmares Case,0.23
XM1014,Ziggy,Restricted Shotgun,Spectrum 2 Case,0.42
XM1014,Seasons,Restricted Shotgun,Spectrum Case,1.56
XM1014,Black Tie,Restricted Shotgun,Chroma 3 Case,0.41
XM1014,Teclu Burner,Restricted Shotgun,Revolver Case,1.05
XM1014,Heaven Guard,Restricted Shotgun,Huntsman Weapon Case,6.9
XM1014,Watchdog,Mil-Spec Shotgun,Operation Riptide Case,0.94
XM1014,Oxide Blaze,Mil-Spec Shotgun,Clutch Case,0.07
XM1014,Slipstream,Mil-Spec Shotgun,Gamma 2 Case,0.09
XM1014,Scumbria,Mil-Spec Shotgun,Shadow Case,0.14
XM1014,Quicksilver,Mil-Spec Shotgun,Chroma Case,0.2
XM1014,Red Python,Mil-Spec Shotgun,eSports 2014 Summer Case,2.1
M249,Downtown,Restricted Machine Gun,Recoil Case,0.53
M249,Aztec,Restricted Machine Gun,CS20 Case,0.66
M249,Emerald Poison Dart,Restricted Machine Gun,Spectrum Case,1.38
M249,Nebula Crusader,Restricted Machine Gun,Shadow Case,1.23
M249,O.S.I.P.R.,Mil-Spec Machine Gun,Snakebite Case,0.09
M249,Deep Relief,Mil-Spec Machine Gun,Operation Broken Fang Case,0.55
M249,Warbird,Mil-Spec Machine Gun,Shattered Web Case,1.03
M249,Spectre,Mil-Spec Machine Gun,Chroma 3 Case,0.08
M249,System Lock,Mil-Spec Machine Gun,Chroma Case,0.18
M249,Magma,Mil-Spec Machine Gun,Winter Offensive Weapon Case,0.93
Negev,dev_texture,Restricted Machine Gun,Snakebite Case,0.23
Negev,Lionfish,Restricted Machine Gun,Clutch Case,0.29
Negev,Power Loader,Restricted Machine Gun,Revolver Case,1.03
Negev,Loudmouth,Restricted Machine Gun,Falchion Case,0.69
Negev,Drop Me,Mil-Spec Machine Gun,Recoil Case,0.07
Negev,Ultralight,Mil-Spec Machine Gun,Fracture Case,0.07
Negev,Prototype,Mil-Spec Machine Gun,Prisma 2 Case,0.07
Negev,Dazzle,Mil-Spec Machine Gun,Gamma 2 Case,0.09
Negev,Man-o'-war,Mil-Spec Machine Gun,Chroma 2 Case,0.11
Negev,Bratatat,Mil-Spec Machine Gun,eSports 2014 Summer Case,2.08
Negev,Desert-Strike,Mil-Spec Machine Gun,Operation Breakout Weapon Case,0.09
Negev,Terrain,Mil-Spec Machine Gun,Operation Phoenix Weapon Case,0.25
AK-47,Head Shot,Covert Rifle,Revolution Case,18.51
AK-47,Nightwish,Covert Rifle,Dreams & Nightmares Case,12.12
AK-47,Leet Museo,Covert Rifle,Operation Riptide Case,17.75
AK-47,Legion of Anubis,Covert Rifle,Fracture Case,7.66
AK-47,Asiimov,Covert Rifle,Danger Zone Case,28.93
AK-47,Neon Rider,Covert Rifle,Horizon Case,35.2
AK-47,The Empress,Covert Rifle,Spectrum 2 Case,33.71
AK-47,Bloodsport,Covert Rifle,Spectrum Case,99.74
AK-47,Neon Revolution,Covert Rifle,Gamma 2 Case,15.35
AK-47,Fuel Injector,Covert Rifle,Operation Wildfire Case,178.2
AK-47,Aquamarine Revenge,Covert Rifle,Falchion Case,31.97
AK-47,Wasteland Rebel,Covert Rifle,Operation Vanguard Weapon Case,26.39
AK-47,Jaguar,Covert Rifle,eSports 2014 Summer Case,37.26
AK-47,Vulcan,Covert Rifle,Huntsman Weapon Case,267.67
AK-47,Fire Serpent,Covert Rifle,Operation Bravo Case,1.34
AK-47,Ice Coaled,Classified Rifle,Recoil Case,7.27
AK-47,Phantom Disruptor,Classified Rifle,Prisma 2 Case,4.06
AK-47,Point Disarray,Classified Rifle,Revolver Case,9.4
AK-47,Frontside Misty,Classified Rifle,Shadow Case,12.69
AK-47,Cartel,Classified Rifle,Chroma Case,8.2
AK-47,Redline,Classified Rifle,Operation Phoenix Weapon Case,17.87
AK-47,Case Hardened,Classified Rifle,CS:GO Weapon Case,284.75
AK-47,Red Laminate,Classified Rifle,eSports 2013 Case,42.0
AK-47,Slate,Restricted Rifle,Snakebite Case,2.12
AK-47,Rat Rod,Restricted Rifle,Shattered Web Case,3.25
AK-47,Orbit Mk01,Restricted Rifle,Operation Hydra Case,10.92
AK-47,Blue Laminate,Restricted Rifle,eSports 2013 Winter Case,9.78
AK-47,Uncharted,Mil-Spec Rifle,Prisma Case,0.25
AK-47,Elite Build,Mil-Spec Rifle,Chroma 2 Case,1.04
AUG,Chameleon,Covert Rifle,Operation Phoenix Weapon Case,3.01
AUG,Death by Puppy,Classified Rifle,CS20 Case,5.31
AUG,Momentum,Classified Rifle,Prisma Case,1.79
AUG,Stymphalian,Classified Rifle,Clutch Case,1.5
AUG,Syd Mead,Classified Rifle,Gamma 2 Case,1.61
AUG,Fleet Flock,Classified Rifle,Chroma 3 Case,2.25
AUG,Bengal Tiger,Classified Rifle,eSports 2014 Summer Case,5.4
AUG,Arctic Wolf,Restricted Rifle,Shattered Web Case,1.84
AUG,Aristocrat,Restricted Rifle,Gamma Case,0.5
AUG,Torque,Restricted Rifle,Huntsman Weapon Case,7.85
AUG,Plague,Mil-Spec Rifle,Operation Riptide Case,0.39
AUG,Tom Cat,Mil-Spec Rifle,Prisma 2 Case,0.08
AUG,Amber Slipstream,Mil-Spec Rifle,Horizon Case,0.14
AUG,Triqua,Mil-Spec Rifle,Spectrum 2 Case,0.08
AUG,Ricochet,Mil-Spec Rifle,Revolver Case,0.09
AUG,Wings,Mil-Spec Rifle,CS:GO Weapon Case,1.34
AWP,Chromatic Aberration,Covert Sniper Rifle,Recoil Case,8.11
AWP,Containment Breach,Covert Sniper Rifle,Shattered Web Case,93.09
AWP,Wildfire,Covert Sniper Rifle,CS20 Case,56.0
AWP,Neo-Noir,Covert Sniper Rifle,Danger Zone Case,23.47
AWP,Oni Taiji,Covert Sniper Rifle,Operation Hydra Case,336.76
AWP,Hyper Beast,Covert Sniper Rifle,Falchion Case,33.0
AWP,Man-o'-war,Covert Sniper Rifle,Chroma Case,35.55
AWP,Asiimov,Covert Sniper Rifle,Operation Phoenix Weapon Case,154.99
AWP,Lightning Strike,Covert Sniper Rifle,CS:GO Weapon Case,1.34
AWP,Duality,Classified Sniper Rifle,Revolution Case,4.05
AWP,Mortis,Classified Sniper Rifle,Clutch Case,1.54
AWP,Fever Dream,Classified Sniper Rifle,Spectrum Case,8.1
AWP,Elite Build,Classified Sniper Rifle,Operation Wildfire Case,14.65
AWP,Corticera,Classified Sniper Rifle,eSports 2014 Summer Case,13.22
AWP,Redline,Classified Sniper Rifle,Winter Offensive Weapon Case,39.0
AWP,Electric Hive,Classified Sniper Rifle,eSports 2013 Winter Case,33.52
AWP,Graphite,Classified Sniper Rifle,Operation Bravo Case,1.34
AWP,BOOM,Classified Sniper Rifle,eSports 2013 Case,92.83
AWP,Exoskeleton,Restricted Sniper Rifle,Operation Broken Fang Case,2.66
AWP,Atheris,Restricted Sniper Rifle,Prisma Case,2.41
AWP,PAW,Restricted Sniper Rifle,Horizon Case,1.3
AWP,Phobos,Restricted Sniper Rifle,Gamma Case,0.86
AWP,Worm God,Restricted Sniper Rifle,Chroma 2 Case,1.32
AWP,Capillary,Mil-Spec Sniper Rifle,Prisma 2 Case,0.14
FAMAS,Commemoration,Covert Rifle,CS20 Case,12.36
FAMAS,Roll Cage,Covert Rifle,Gamma 2 Case,2.89
FAMAS,Rapid Eye Movement,Classified Rifle,Dreams & Nightmares Case,1.44
FAMAS,Eye of Athena,Classified Rifle,Horizon Case,4.02
FAMAS,Mecha Industries,Classified Rifle,Glove Case,3.36
FAMAS,Djinn,Classified Rifle,Chroma 2 Case,2.61
FAMAS,Afterimage,Classified Rifle,eSports 2013 Winter Case,29.0
FAMAS,ZX Spectron,Restricted Rifle,Operation Riptide Case,1.4
FAMAS,Valence,Restricted Rifle,Operation Wildfire Case,2.38
FAMAS,Neural Net,Restricted Rifle,Falchion Case,0.7
FAMAS,Sergeant,Restricted Rifle,Operation Phoenix Weapon Case,2.2
FAMAS,Pulse,Restricted Rifle,Winter Offensive Weapon Case,5.77
FAMAS,Meow 36,Mil-Spec Rifle,Recoil Case,0.08
FAMAS,Decommissioned,Mil-Spec Rifle,CS20 Case,0.15
FAMAS,Crypsis,Mil-Spec Rifle,Prisma Case,0.13
FAMAS,Macabre,Mil-Spec Rifle,Operation Hydra Case,4.0
FAMAS,Survivor Z,Mil-Spec Rifle,Shadow Case,0.15
FAMAS,Hexane,Mil-Spec Rifle,CS:GO Weapon Case 2,5.25
FAMAS,Doomkitty,Mil-Spec Rifle,eSports 2013 Case,3.95
G3SG1,The Executioner,Classified Sniper Rifle,Revolver Case,1.65
G3SG1,Flux,Classified Sniper Rifle,Shadow Case,7.72
G3SG1,Dream Glade,Restricted Sniper Rifle,Dreams & Nightmares Case,0.23
G3SG1,Scavenger,Restricted Sniper Rifle,Danger Zone Case,0.48
G3SG1,High Seas,Restricted Sniper Rifle,Horizon Case,0.78
G3SG1,Stinger,Restricted Sniper Rifle,Glove Case,0.36
G3SG1,Keeping Tabs,Mil-Spec Sniper Rifle,Operation Riptide Case,0.37
G3SG1,Digital Mesh,Mil-Spec Sniper Rifle,Operation Broken Fang Case,0.52
G3SG1,Black Sand,Mil-Spec Sniper Rifle,Shattered Web Case,1.1
G3SG1,Hunter,Mil-Spec Sniper Rifle,Spectrum 2 Case,0.09
G3SG1,Ventilator,Mil-Spec Sniper Rifle,Gamma 2 Case,0.08
G3SG1,Orange Crash,Mil-Spec Sniper Rifle,Chroma 3 Case,0.08
G3SG1,Murky,Mil-Spec Sniper Rifle,Operation Vanguard Weapon Case,0.46
G3SG1,Azure Zebra,Mil-Spec Sniper Rifle,eSports 2013 Winter Case,1.45
G3SG1,Demeter,Mil-Spec Sniper Rifle,Operation Bravo Case,8.05
Galil AR,Chatterbox,Covert Rifle,Chroma Case,79.95
Galil AR,Chromatic Aberration,Classified Rifle,Snakebite Case,1.78
Galil AR,Sugar Rush,Classified Rifle,Operation Hydra Case,49.33
Galil AR,Eco,Classified Rifle,Chroma 2 Case,4.33
Galil AR,Connexion,Restricted Rifle,Fracture Case,0.37
Galil AR,Signal,Restricted Rifle,Danger Zone Case,0.5
Galil AR,Crimson Tsunami,Restricted Rifle,Spectrum Case,1.47
Galil AR,Firefight,Restricted Rifle,Chroma 3 Case,0.36
Galil AR,Stone Cold,Restricted Rifle,Shadow Case,1.54
Galil AR,Orange DDPAT,Restricted Rifle,eSports 2013 Case,13.5
Galil AR,Destroyer,Mil-Spec Rifle,Recoil Case,0.08
Galil AR,Vandal,Mil-Spec Rifle,Operation Broken Fang Case,0.53
Galil AR,Akoben,Mil-Spec Rifle,Prisma Case,0.16
Galil AR,Black Sand,Mil-Spec Rifle,Glove Case,0.1
Galil AR,Rocket Pop,Mil-Spec Rifle,Falchion Case,0.96
Galil AR,Kami,Mil-Spec Rifle,Huntsman Weapon Case,2.57
Galil AR,Blue Titanium,Mil-Spec Rifle,eSports 2013 Winter Case,1.34
Galil AR,Sandstorm,Mil-Spec Rifle,Winter Offensive Weapon Case,1.0
Galil AR,Shattered,Mil-Spec Rifle,Operation Bravo Case,7.59
M4A1-S,Printstream,Covert Rifle,Operation Broken Fang Case,188.79
M4A1-S,Player Two,Covert Rifle,Prisma 2 Case,24.73
M4A1-S,Mecha Industries,Covert Rifle,Gamma Case,30.07
M4A1-S,Chantico's Fire,Covert Rifle,Chroma 3 Case,25.56
M4A1-S,Golden Coil,Covert Rifle,Shadow Case,59.98
M4A1-S,Hyper Beast,Covert Rifle,Chroma 2 Case,23.54
M4A1-S,Cyrex,Covert Rifle,Operation Breakout Weapon Case,18.8
M4A1-S,Nightmare,Classified Rifle,Horizon Case,9.98
M4A1-S,Leaded Glass,Classified Rifle,Spectrum 2 Case,4.72
M4A1-S,Decimator,Classified Rifle,Spectrum Case,13.0
M4A1-S,Atomic Alloy,Classified Rifle,Huntsman Weapon Case,36.65
M4A1-S,Guardian,Classified Rifle,Winter Offensive Weapon Case,20.41
M4A1-S,Emphorosaur-S,Restricted Rifle,Revolution Case,0.69
M4A1-S,Night Terror,Restricted Rifle,Dreams & Nightmares Case,0.47
M4A1-S,Flashback,Restricted Rifle,Glove Case,0.48
M4A1-S,Basilisk,Restricted Rifle,Operation Vanguard Weapon Case,5.37
M4A1-S,Bright Water,Restricted Rifle,Operation Bravo Case,27.11
M4A1-S,Dark Water,Restricted Rifle,CS:GO Weapon Case,72.0
M4A1-S,Briefing,Mil-Spec Rifle,Operation Hydra Case,3.26
M4A1-S,Blood Tiger,Mil-Spec Rifle,CS:GO Weapon Case 2,5.55
M4A4,Howl,Contraband Rifle,,1.34
M4A4,Temukau,Covert Rifle,Revolution Case,22.66
M4A4,In Living Color,Covert Rifle,Snakebite Case,6.06
M4A4,The Emperor,Covert Rifle,Prisma Case,13.89
M4A4,Neo-Noir,Covert Rifle,Clutch Case,6.01
M4A4,Buzz Kill,Covert Rifle,Glove Case,9.23
M4A4,The Battlestar,Covert Rifle,Operation Wildfire Case,4.37
M4A4,Royal Paladin,Covert Rifle,Revolver Case,6.82
M4A4,Bullet Rain,Covert Rifle,eSports 2014 Summer Case,15.27
M4A4,Desert-Strike,Covert Rifle,Huntsman Weapon Case,4.02
M4A4,Asiimov,Covert Rifle,Winter Offensive Weapon Case,162.75
M4A4,X-Ray,Covert Rifle,eSports 2013 Winter Case,15.07
M4A4,Cyber Security,Classified Rifle,Operation Broken Fang Case,17.49
M4A4,Tooth Fairy,Classified Rifle,Fracture Case,2.96
M4A4,Hellfire,Classified Rifle,Operation Hydra Case,46.61
M4A4,Desolate Space,Classified Rifle,Gamma Case,6.03
M4A4,龍王 (Dragon King),Classified Rifle,Chroma Case,7.62
M4A4,Spider Lily,Restricted Rifle,Operation Riptide Case,2.91
M4A4,Evil Daimyo,Restricted Rifle,Falchion Case,1.96
M4A4,Griffin,Restricted Rifle,Operation Vanguard Weapon Case,1.9
M4A4,Zirka,Restricted Rifle,Operation Bravo Case,27.0
M4A4,Poly Mag,Mil-Spec Rifle,Recoil Case,0.08
M4A4,Magnesium,Mil-Spec Rifle,Danger Zone Case,0.17
M4A4,Faded Zebra,Mil-Spec Rifle,eSports 2013 Case,3.45
SCAR-20,Bloodsport,Classified Sniper Rifle,Gamma Case,2.94
SCAR-20,Cardiac,Classified Sniper Rifle,Operation Vanguard Weapon Case,4.05
SCAR-20,Cyrex,Classified Sniper Rifle,Huntsman Weapon Case,42.04
SCAR-20,Enforcer,Restricted Sniper Rifle,Prisma 2 Case,0.37
SCAR-20,Powercore,Restricted Sniper Rifle,Gamma 2 Case,0.29
SCAR-20,Fragments,Mil-Spec Sniper Rifle,Revolution Case,0.09
SCAR-20,Poultrygeist,Mil-Spec Sniper Rifle,Dreams & Nightmares Case,0.07
SCAR-20,Torn,Mil-Spec Sniper Rifle,Shattered Web Case,1.07
SCAR-20,Assault,Mil-Spec Sniper Rifle,CS20 Case,0.14
SCAR-20,Jungle Slipstream,Mil-Spec Sniper Rifle,Spectrum 2 Case,0.08
SCAR-20,Blueprint,Mil-Spec Sniper Rifle,Spectrum Case,0.18
SCAR-20,Outbreak,Mil-Spec Sniper Rifle,Revolver Case,0.09
SCAR-20,Green Marine,Mil-Spec Sniper Rifle,Shadow Case,0.14
SCAR-20,Grotto,Mil-Spec Sniper Rifle,Chroma Case,0.2
SCAR-20,Crimson Web,Mil-Spec Sniper Rifle,CS:GO Weapon Case 2,5.37
SG 553,Colony IV,Classified Rifle,Shattered Web Case,8.78
SG 553,Cyrex,Classified Rifle,Falchion Case,4.64
SG 553,Dragon Tech,Restricted Rifle,Recoil Case,0.53
SG 553,Darkwing,Restricted Rifle,Prisma 2 Case,0.37
SG 553,Phantom,Restricted Rifle,Spectrum 2 Case,0.38
SG 553,Triarch,Restricted Rifle,Gamma 2 Case,0.28
SG 553,Tiger Moth,Restricted Rifle,Revolver Case,0.73
SG 553,Pulse,Restricted Rifle,Operation Phoenix Weapon Case,2.31
SG 553,Cyberforce,Mil-Spec Rifle,Revolution Case,0.08
SG 553,Heavy Metal,Mil-Spec Rifle,Snakebite Case,0.09
SG 553,Ol' Rusty,Mil-Spec Rifle,Fracture Case,0.07
SG 553,Danger Close,Mil-Spec Rifle,Danger Zone Case,0.08
SG 553,Aloha,Mil-Spec Rifle,Clutch Case,0.07
SG 553,Aerial,Mil-Spec Rifle,Gamma Case,0.11
SG 553,Atlas,Mil-Spec Rifle,Chroma 3 Case,0.08
SG 553,Wave Spray,Mil-Spec Rifle,Operation Bravo Case,8.22
SG 553,Ultraviolet,Mil-Spec Rifle,CS:GO Weapon Case,20.09
SSG 08,Dragonfire,Covert Sniper Rifle,Glove Case,12.07
SSG 08,Blood in the Water,Covert Sniper Rifle,CS:GO Weapon Case 2,50.0
SSG 08,Turbo Peek,Classified Sniper Rifle,Operation Riptide Case,5.1
SSG 08,Bloodshot,Classified Sniper Rifle,Shattered Web Case,8.24
SSG 08,Big Iron,Classified Sniper Rifle,Shadow Case,7.59
SSG 08,Parallax,Restricted Sniper Rifle,Operation Broken Fang Case,2.76
SSG 08,Fever Dream,Restricted Sniper Rifle,Prisma 2 Case,0.37
SSG 08,Death's Head,Restricted Sniper Rifle,Operation Hydra Case,7.7
SSG 08,Ghost Crusader,Restricted Sniper Rifle,Chroma 3 Case,0.52
SSG 08,Mainframe 001,Mil-Spec Sniper Rifle,Fracture Case,0.07
SSG 08,Necropos,Mil-Spec Sniper Rifle,Operation Wildfire Case,0.58
SSG 08,Dark Water,Mil-Spec Sniper Rifle,eSports 2014 Summer Case,2.12
SSG 08,Abyss,Mil-Spec Sniper Rifle,Operation Breakout Weapon Case,0.23
SSG 08,Slashed,Mil-Spec Sniper Rifle,Huntsman Weapon Case,2.67
